site_no,station_nm,lat,long,datum,altitude,gh,gh_start,gh_end,sf,sf_start,sf_end,huc10,huc10_name,huc10_area
03207965,"GRAPEVINE CREEK NEAR PHYLLIS, KY",37.432606,-82.35376,NAD83,797.19,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1989-04-25 00:00:00,2024-04-03 01:00:00,0507020202,Fishtrap Lake-Levisa Fork,418.12
03208000,"LEVISA FORK BELOW FISHTRAP DAM NEAR MILLARD, KY",37.425938,-82.41237,NAD83,599.16,1,2008-07-31 11:00:00,2024-04-03 01:00:00,0,,,0507020202,Fishtrap Lake-Levisa Fork,418.12
03209300,"RUSSELL FORK AT ELKHORN CITY, KY",37.303997,-82.342926,NAD83,773.0,1,2008-10-10 10:00:00,2017-10-03 16:30:00,0,,,0507020207,Russell Fork-Levisa Fork,449.8
03209310,"ELKHORN LAKE AT JENKINS, KY",37.168354,-82.63506,NAD83,1573.06,1,2023-12-07 13:45:00,2024-04-03 01:00:00,0,,,0507020207,Russell Fork-Levisa Fork,449.8
03209325,"ELKHORN CREEK AT BURDINE, KY",37.18783,-82.60457,NAD83,,1,2024-01-31 14:45:00,2024-04-03 01:00:00,0,,,0507020207,Russell Fork-Levisa Fork,449.8
03209410,"RUSSELL FORK AT CEDARVILLE, KY",37.312954,-82.35956,NAD83,743.4,1,2017-10-04 17:45:00,2024-04-03 01:00:00,1,2017-10-04 17:45:00,2020-10-15 17:45:00,0507020207,Russell Fork-Levisa Fork,449.8
03209500,"LEVISA FORK AT PIKEVILLE, KY",37.464268,-82.52626,NAD83,631.26,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2015-10-01 01:00:00,2024-04-03 01:00:00,0507020302,Mud Creek-Levisa Fork,691.97
03209800,"LEVISA FORK AT PRESTONSBURG, KY",37.67093,-82.77711,NAD83,587.38,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2023-06-28 00:00:00,2024-04-03 01:00:00,0507020302,Mud Creek-Levisa Fork,691.97
03210000,"JOHNS CREEK NEAR META, KY",37.567043,-82.457924,NAD83,714.52,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1974-01-18 00:00:00,2024-04-03 01:00:00,0507020303,Johns Creek,580.98
03211500,"JOHNS CREEK NEAR VAN LEAR, KY",37.743706,-82.724045,NAD83,596.61,1,2008-07-15 08:00:00,2024-04-03 01:00:00,0,,,0507020303,Johns Creek,580.98
03212500,"LEVISA FORK AT PAINTSVILLE, KY",37.815372,-82.79155,NAD83,566.18,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2015-10-01 01:30:00,2024-04-03 01:00:00,0507020305,Georges Creek-Levisa Fork,551.91
03213700,"TUG FORK AT WILLIAMSON, WV",37.673157,-82.28014,NAD83,619.91,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1997-07-03 00:00:00,2024-04-03 01:00:00,0507020105,Wolf Creek-Tug Fork,515.03
03215000,"BIG SANDY R AT LOUISA, KY",38.171196,-82.634605,NAD83,512.13,1,2016-10-01 01:00:00,2024-04-03 01:00:00,0,,,0507020404,Whites Creek-Big Sandy River,377.31
03215410,"BLAINE CREEK NEAR BLAINE, KY",38.029533,-82.84683,NAD83,632.46,1,2009-10-22 09:30:00,2024-04-03 01:00:00,1,2009-10-22 09:30:00,2024-04-03 01:00:00,0507020401,Upper Blaine Creek,269.16
03216000,"OHIO RIVER AT ASHLAND, KY",38.484024,-82.64155,NAD83,480.41,1,2009-09-29 10:00:00,2024-04-03 01:00:00,0,,,0509010301,Ice Creek-Ohio River,560.13
03216070,"OHIO RIVER AT IRONTON, OH",38.532055,-82.68594,NAD83,480.41,1,2015-09-02 17:30:00,2024-04-03 01:00:00,1,2015-09-03 09:15:00,2024-04-03 01:00:00,0509010301,Ice Creek-Ohio River,560.13
03216300,"GRAYSON LAKE NEAR LEON, KY",38.252583,-82.98545,NAD83,,1,2021-01-19 00:00:00,2024-04-03 01:00:00,0,,,0509010403,Middle Little Sandy River,434.78
03216350,"LITTLE SANDY RIVER BELOW GRAYSON DAM NEAR LEON, KY",38.25397,-82.991005,NAD83,499.42,1,2014-09-11 12:30:00,2024-04-03 01:00:00,0,,,0509010403,Middle Little Sandy River,434.78
03216500,"LITTLE SANDY RIVER AT GRAYSON, KY",38.330082,-82.93934,NAD83,557.03,1,2008-10-01 00:00:00,2024-04-03 01:00:00,1,1987-02-03 00:00:00,2024-04-03 01:00:00,0509010403,Middle Little Sandy River,434.78
03216540,"EAST FORK LITTLE SANDY RIVER NEAR FALLSBURG, KY",38.233696,-82.70877,NAD83,661.4,0,,,1,1987-10-09 00:00:00,1991-09-30 23:45:00,0509010404,East Fork Little Sandy River,398.88
03216600,"OHIO RIVER AT GREENUP DAM NEAR GREENUP, KY",38.646744,-82.86045,NAD83,471.85,1,2010-01-01 00:00:00,2024-04-03 01:00:00,1,2015-10-01 01:00:00,2024-04-03 01:00:00,0509010301,Ice Creek-Ohio River,560.13
03216777,"TYGARTS CREEK AT LAWTON RD AT OLIVE HILL,KY",38.290382,-83.18956,NAD83,747.85,1,2021-04-03 00:00:00,2024-04-03 01:00:00,1,2021-04-04 01:00:00,2024-04-03 01:00:00,0509010303,Upper Tygarts Creek,479.24
03217000,"TYGARTS CREEK NEAR GREENUP, KY",38.564247,-82.95212,NAD83,546.4,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 01:00:00,2024-04-03 01:00:00,0509010304,Lower Tygarts Creek,400.24
03217200,"OHIO RIVER AT PORTSMOUTH, OH",38.729134,-82.99687,NAD83,469.01,1,2009-09-28 17:30:00,2024-04-03 01:00:00,0,,,0509010306,Little Scioto River-Ohio River,414.37
03237250,"KINNICONICK CREEK NEAR TANNERY, KY",38.54341,-83.224625,NAD83,,0,,,1,1991-12-01 00:00:00,2000-12-06 23:30:00,0509020101,Kinniconick Creek,655.48
03237255,"KINNICONICK CREEK BELOW TRACE CREEK AT TANNERY, KY",38.545277,-83.22139,NAD83,,0,,,1,2000-12-08 00:00:00,2010-09-30 23:45:00,0509020101,Kinniconick Creek,655.48
03237900,"CABIN CREEK NEAR TOLLESBORO, KY",38.567852,-83.53713,NAD83,,0,,,1,1987-10-01 00:15:00,1992-03-30 23:45:00,0509020106,Cabin Creek-Ohio River,531.2
03238000,"OHIO RIVER AT MAYSVILLE, KY",38.68411,-83.78389,NAD83,450.15,1,2023-12-05 00:00:00,2024-04-03 01:00:00,0,,,0509020106,Cabin Creek-Ohio River,531.2
03238140,"TAYLOR CREEK AT DONNERMEYER DRIVE AT BELLEVUE, KY",39.09742,-84.48361,NAD83,479.49,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2007-10-01 01:00:00,2024-04-03 01:00:00,0509020302,Muddy Creek-Ohio River,293.77
03238745,"TWELVEMILE CREEK AT HIGHWAY 1997 NR ALEXANDRIA, KY",38.951454,-84.33827,NAD83,504.8,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2001-01-17 00:00:00,2024-04-03 01:00:00,0509020112,Twelvemile Creek-Ohio River,501.67
03238772,"FOURMILE CREEK AT POPLAR RIDGE RD NR ALEXANDRIA,KY",38.986668,-84.36528,NAD83,534.69,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2001-03-10 00:00:00,2024-04-03 01:00:00,0509020112,Twelvemile Creek-Ohio River,501.67
03238780,"FOURMILE CR @ HWY 547 NR ALEXANDRIA, KY",39.009167,-84.37334,NAD83,,0,,,1,1999-05-03 00:00:00,2000-09-30 23:50:00,0509020112,Twelvemile Creek-Ohio River,501.67
03238785,"FOURMILE CK AT GRAYS CROSSING AT SILVER GROVE, KY",39.02125,-84.38121,NAD83,479.64,1,2017-02-23 09:30:00,2024-04-03 01:00:00,1,2017-02-23 09:30:00,2024-04-03 01:00:00,0509020112,Twelvemile Creek-Ohio River,501.67
03238798,"FOURMILE CREEK AT HWY 8 AT SILVER GROVE, KY",39.043575,-84.41978,NAD83,456.46,1,2017-02-23 17:00:00,2024-04-03 01:00:00,0,,,0509020112,Twelvemile Creek-Ohio River,501.67
03248300,"LICKING RIVER BELOW MASON FORK NR SALYERSVILLE, KY",37.730648,-83.057945,NAD83,840.11,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2001-04-25 01:00:00,2024-04-03 01:00:00,0510010101,Headwaters Licking River,605.15
03249498,"CAVE RUN LAKE NEAR FARMERS, KY",38.11769,-83.53188,NAD83,,1,2023-12-05 00:00:00,2024-04-03 01:00:00,0,,,0510010108,Fox Creek-Licking River,863.61
03249500,"LICKING RIVER AT FARMERS, KY",38.11536,-83.54324,NAD83,645.93,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1987-10-01 01:00:00,2009-09-26 23:45:00,0510010108,Fox Creek-Licking River,863.61
03249505,"LICKING RIVER AT HWY 60 AT FARMERS, KY",38.14008,-83.55713,NAD83,645.93,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2003-10-01 00:00:00,2006-09-30 23:45:00,0510010108,Fox Creek-Licking River,863.61
03250000,"TRIPLETT CREEK AT MOREHEAD, KY",38.184525,-83.42991,NAD83,708.26,0,,,1,1988-10-01 00:00:00,1992-09-22 23:30:00,0510010106,Triplett Creek,484.49
03250100,"NORTH FORK TRIPLETT CREEK NEAR MOREHEAD, KY",38.19925,-83.48046,NAD83,677.4,1,2012-07-17 16:45:00,2024-04-03 01:00:00,1,1987-10-01 00:30:00,2024-04-03 01:00:00,0510010106,Triplett Creek,484.49
03250190,"SLATE CREEK AT HIGHWAY 713 NR MT. STERLING, KY",38.023968,-83.83159,NAD83,749.03,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,2000-03-03 00:00:00,2024-04-03 01:00:00,0510010107,Slate Creek,595.01
