site_no,station_nm,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,rt_bol
15s,50s,16n,16n,1s,10s,8s,3s,10s,16s,2s,3n
03207965,"GRAPEVINE CREEK NEAR PHYLLIS, KY",37.43260479,-82.35375630,U,NAD83, 797.19,,,05070202,,1
03209410,"RUSSELL FORK AT CEDARVILLE, KY",37.31295507,-82.35955490,S,NAD83, 743.40,,,05070202,,1
03209500,"LEVISA FORK AT PIKEVILLE, KY",37.46426760,-82.52626320,F,NAD83, 631.26,,,05070203,,1
03209800,"LEVISA FORK AT PRESTONSBURG, KY",37.67093027,-82.77710430,F,NAD83, 587.38,,,05070203,,1
03210000,"JOHNS CREEK NEAR META, KY",37.56704440,-82.45792659,F,NAD83, 714.52,,,05070203,,1
03212500,"LEVISA FORK AT PAINTSVILLE, KY",37.81537197,-82.79154930,F,NAD83, 566.18,,,05070203,,1
03213700,"TUG FORK AT WILLIAMSON, WV",37.67315699,-82.28014080,T,NAD83, 619.91,,,05070201,,1
03215410,"BLAINE CREEK NEAR BLAINE, KY",38.02953320,-82.84682900,U,NAD83, 632.46,,,05070204,,1
03216070,"OHIO RIVER AT IRONTON, OH",38.53205556,-82.68594440,1,NAD83, 480.41,,,05090103,,1
03216500,"LITTLE SANDY RIVER AT GRAYSON, KY",38.33008130,-82.93933530,F,NAD83, 557.03,,,05090104,,1
03216540,"EAST FORK LITTLE SANDY RIVER NEAR FALLSBURG, KY",38.23369500,-82.70877170,U,NAD83, 661.4,,,05090104,,1
03216600,"OHIO RIVER AT GREENUP DAM NEAR GREENUP, KY",38.64674480,-82.86044700,F,NAD83, 471.85,,,05090103,,1
03217000,"TYGARTS CREEK NEAR GREENUP, KY",38.56424530,-82.95211580,U,NAD83, 546.40,,,05090103,,1
03237250,"KINNICONICK CREEK NEAR TANNERY, KY",38.54341090,-83.22462490,T,NAD83,,,,05090201,,1
03237255,"KINNICONICK CREEK BELOW TRACE CREEK AT TANNERY, KY",38.54527778,-83.22138889,H,NAD83,,,,05090201,,1
03237900,"CABIN CREEK NEAR TOLLESBORO, KY",38.56785337,-83.53713570,U,NAD83,,,,05090201,,1
03238140,"TAYLOR CREEK AT DONNERMEYER DRIVE AT BELLEVUE, KY",39.09742120,-84.48360879,1,NAD83, 479.49,,,05090203,,1
03238745,"TWELVEMILE CREEK AT HIGHWAY 1997 NR ALEXANDRIA, KY",38.95145290,-84.33827120,F,NAD83, 504.80,,,05090201,,1
03238772,"FOURMILE CREEK AT POPLAR RIDGE RD NR ALEXANDRIA,KY",38.98666667,-84.36527780,H,NAD83, 534.69,,,05090201,,1
03238780,"FOURMILE CR @ HWY 547 NR ALEXANDRIA, KY",39.00916667,-84.37333330,H,NAD83,,,,05090201,,1
03238785,"FOURMILE CK AT GRAYS CROSSING AT SILVER GROVE, KY",39.02125097,-84.38121150,S,NAD83, 479.64,,,05090201,,1
03248300,"LICKING RIVER BELOW MASON FORK NR SALYERSVILLE, KY",37.73064817,-83.05794780,H,NAD83, 840.11,,,05100101,,1
