huc10,areasqkm,majority,range,mean,std,min,percentile_10,percentile_25,median,percentile_75,percentile_90,max
507020303,580.98,-1,360.9999695,183.1313518,103.2021305,-1,39.71244583,94.17948914,183.8112793,274.8535767,321.650531,359.9999695
509010110,466.16,-1,360.9999695,176.3543594,101.992778,-1,36.25187759,88.02493286,176.8419342,261.7377014,318.0416382,359.9999695
510010111,834.17,-1,361,182.9849585,101.6401007,-1,41.06922112,95.71216202,184.851059,270.4318161,321.1236694,360
510010113,485.27,-1,361,178.5924933,102.078922,-1,37.54635239,91.38263893,178.8766632,265.7891846,319.2127045,360
509020302,293.77,-1,360.9994812,173.4369228,109.159772,-1,17.13549271,77.02523041,177.5245667,267.8579712,322.6328857,359.9994812
601020604,1018.64,-1,361,178.6200355,103.8378409,-1,30.82022247,93.70504189,178.2271576,266.1296082,323.4496368,360
601020603,683.12,-1,360.999939,187.5212336,101.1621693,-1,42.7697731,109.7844467,183.1889038,276.3404236,327.8979126,359.999939
601020601,397.42,-1,361,185.9270646,101.9282198,-1,43.81261635,102.1021481,183.5767517,276.2600555,325.2894287,360
510020507,895.65,-1,361,184.7489291,103.0466196,-1,38.0345993,95.86658859,189.2344971,272.511795,323.0829926,360
511000304,329.4,-1,360.9999084,177.0597841,104.9747153,-1,32.63810272,86.01124763,175.9247437,267.7245636,323.7993713,359.9999084
511000602,565.63,-1,361,180.872867,107.1584904,-1,33.55444298,85.79761887,179.8331299,277.7561111,327.1388855,360
507020103,973.4,-1,361,183.1433741,103.8170407,-1,38.19346085,93.75683212,183.696701,274.723877,324.3306335,360
509020308,572.18,-1,360.9998779,176.2986704,104.9022679,-1,27.40384731,87.92447281,178.3164368,265.8036652,319.9050934,359.9998779
511000106,682.05,-1,360.9999695,182.791325,102.1301116,-1,39.00922394,94.86221313,184.9893646,270.010376,321.3598938,359.9999695
511000402,380.07,-1,360.9999695,186.439714,101.9363909,-1,39.34396744,102.9854584,190.0567017,274.0019836,323.1738892,359.9999695
510020107,610.08,-1,360.9999695,181.9387425,99.5242084,-1,46.34109116,96.99012756,180.6778564,269.0663757,315.8795776,359.9999695
604000605,391.68,-1,360.9999695,157.1517742,114.6707048,-1,-1,50.8939209,154.5410156,257.6847992,320.5549988,359.9999695
511000601,214.38,-1,360.9999084,175.6995081,107.0010753,-1,32.77821388,82.21821213,167.5849915,273.1451111,327.1037445,359.9999084
509020101,655.48,-1,360.9999695,177.3827491,102.4969439,-1,35.33083115,89.05548859,177.9500427,262.6336365,321.7460754,359.9999695
511000401,555.11,-1,360.999939,186.0464785,101.059014,-1,42.24468307,103.5798874,187.1969147,273.1244812,323.3034668,359.999939
511000101,1015.14,-1,360.9999695,182.7673263,101.9311608,-1,38.21290207,97.23522377,184.2242432,269.570343,320.62341,359.9999695
507020305,551.91,-1,360.9998779,179.5323381,102.6422015,-1,38.44884567,91.20962143,178.2236481,268.9708252,321.2657532,359.9998779
507020301,621.96,-1,360.9999695,182.1674183,103.2369138,-1,39.30294418,92.27805328,183.3555908,273.02771,322.7892334,359.9999695
507020304,437.26,-1,360.9999695,178.961115,101.7469309,-1,40.8606163,92.73267746,175.0150909,268.8767395,319.0783813,359.9999695
507020401,269.16,-1,360.9996643,180.5462341,100.4810098,-1,42.37630463,95.49299049,179.1139221,267.655777,318.1450562,359.9996643
507020403,248.25,-1,360.9998169,174.4822235,103.1752983,-1,33.49177856,84.03023911,174.7617798,261.0493622,318.3855652,359.9998169
507020202,418.12,-1,360.9999695,185.4848842,102.8332379,-1,40.82101517,98.65829086,186.2751007,276.8054199,323.8496704,359.9999695
507020404,377.31,-1,360.9997864,178.1696946,102.620454,-1,37.62768745,90.27355957,176.0220032,267.5008087,320.6363403,359.9997864
510010112,750.72,-1,360.9999695,181.2485271,102.480474,-1,38.60706711,92.10079193,183.9133911,268.6641235,321.7190857,359.9999695
510010109,249.93,-1,360.9998474,180.7843973,98.5813441,-1,43.11521988,97.63765144,182.3388672,262.3233566,315.6075439,359.9998474
510010204,635.97,-1,360.9999695,178.6504014,101.5536934,-1,38.42924423,90.41668129,180.1316681,263.8843155,319.7700775,359.9999695
510010205,357.4,-1,360.999939,179.0192884,101.9758554,-1,38.8096611,89.42558289,181.0263062,266.3020325,318.5856689,359.999939
510020101,485.15,-1,360.999939,187.8229232,103.1557565,-1,43.24265213,99.16411591,190.0526733,280.2350159,324.0653015,359.999939
510020102,221.32,-1,360.9996033,183.8834051,103.6113536,-1,38.55195389,94.95814514,185.4206543,276.322998,322.3999695,359.9996033
510020103,669.55,-1,360.999939,184.651968,104.3888034,-1,38.70391464,95.04585648,184.2385254,278.0640106,326.1508026,359.999939
510020104,279.01,-1,360.9998779,181.7365006,103.5998042,-1,37.86513138,93.08140564,180.3279877,273.2711334,323.5523376,359.9998779
510020105,637.32,-1,360.9999695,184.7872271,103.1661763,-1,41.51628113,95.47478485,185.7256622,276.3598938,323.7190552,359.9999695
510020401,355.5,-1,360.9999695,180.8627849,98.9290701,-1,45.44988785,98.76717377,178.5976105,266.0638733,316.6472473,359.9999695
510020402,769.32,-1,360.999939,182.1231434,100.8755641,-1,43.14161835,95.64374542,182.7939453,269.5271912,318.7061157,359.999939
510020305,185.1,-1,360.9993591,179.008114,100.0864956,-1,42.18325119,92.69630432,178.7447662,265.5796204,315.0181274,359.9993591
510020306,328.97,-1,361,182.0770288,100.7533829,-1,43.29964638,96.54079628,181.2402039,270.0813293,318.5996399,360
507020205,582.56,-1,360.9998169,177.9306116,102.1112662,-1,37.61319809,91.08603668,173.2470093,266.3152771,319.8862793,359.9998169
507020105,515.03,-1,360.999939,181.3550954,103.4523139,-1,38.80111465,90.72540283,182.6153107,272.1104431,322.6886078,359.999939
507020402,168.27,-1,360.9994507,178.1635968,102.4722767,-1,37.0933033,90.84323311,176.2142944,266.8905258,319.3309998,359.9994507
510020201,238.68,-1,361,185.1819064,103.8751526,-1,39.57988701,96.4970932,185.6177368,278.7121811,324.3667755,360
510020504,515.83,-1,360.9999695,178.8730575,101.2787369,-1,39.48673096,93.21204376,178.0016785,266.6793823,318.3043152,359.9999695
514020601,260.41,-1,360.999939,161.4478959,113.9499836,-1,-1,49.35821533,170.6221924,257.114563,320.0244507,359.999939
514020602,182,-1,360.9999084,180.6554392,96.29424895,-1,43.2144146,105.1126633,185.0449829,258.0556183,309.1295929,359.9999084
514010109,547.81,-1,361,170.1404262,110.3844097,-1,1.291572142,78.5970993,174.5151062,269.4688416,316.3496033,360
514010410,448.76,-1,360.9997864,169.9217573,109.7390342,-1,16.24475288,70.7299881,173.0788727,264.6761322,320.7485107,359.9997864
514010414,345.48,-1,360.9998779,173.5403882,109.5554604,-1,14.74237728,77.16833687,178.2805176,268.62883,320.6528137,359.9998779
514020107,295.35,-1,360.9994202,170.1828897,109.406429,-1,7.472824144,75.04029465,173.1790314,262.7833481,319.7547394,359.9994202
514020108,239.73,-1,360.9995422,179.0498353,105.8469237,-1,25.07209587,93.53946877,179.8327789,272.0596771,321.0057678,359.9995422
514020504,269.12,-1,360.999939,179.9428331,100.9064831,-1,38.23319244,92.47013283,184.6183777,263.8094482,316.9438782,359.999939
514010401,553.82,-1,360.999939,181.5061304,105.776695,-1,31.35102501,90.19113922,185.0648804,273.2162781,324.9690308,359.999939
514020112,274.13,-1,360.9997253,163.0936028,115.0538662,-1,-1,47.87063217,172.6035156,258.7433624,322.3242981,359.9997253
514020106,293.81,-1,360.9999695,187.1685034,100.9000706,-1,42.599617,104.241188,190.4542847,273.8950195,322.4243042,359.9999695
514020206,420.57,-1,361,167.3464099,111.3044612,-1,0.24456929,69.38732147,171.4368439,260.2306366,324.0629517,360
514010103,431.72,-1,360.999939,174.7423384,107.0618544,-1,18.95449219,82.24536133,180.2265778,265.0406189,319.1403503,359.999939
514020607,514.2,-1,360.9999695,154.9649692,112.0503279,-1,-1,51.84186363,152.2528076,252.3160324,310.9289612,359.9999695
514010301,709.77,-1,361,183.784599,98.53267601,-1,46.23637962,102.7057934,184.6876526,267.3648834,317.2427979,360
514010302,416.81,-1,360.9998169,184.3025803,99.88023882,-1,43.21912079,102.9611397,183.7320709,270.3575592,319.233606,359.9998169
514010105,278.68,-1,361,190.1281721,101.647663,-1,38.07192879,106.8506489,200.783844,272.9225693,322.6660126,360
514010106,439.65,-1,360.9999695,178.2245391,107.8315463,-1,13.26911221,89.48747253,185.7103729,270.2071533,319.6113281,359.9999695
514010205,324.36,-1,360.999939,183.6502121,98.91289877,-1,41.25084572,102.4809914,189.0134888,263.7259521,317.7089417,359.999939
514010211,226.2,-1,360.999939,174.3880449,108.9665073,-1,17.42812004,78.34264183,180.5591888,268.3607025,321.0288544,359.999939
514010212,327.19,-1,361,176.407104,110.2354619,-1,10.11853065,83.42741394,181.3381042,271.3553162,321.0971954,360
514010213,222.95,-1,360.9998474,183.4666556,104.3050477,-1,36.14428558,94.09277344,185.1746521,274.1979675,325.6126282,359.9998474
514020301,167.89,-1,360.9999084,170.1828354,100.7172347,-1,28.76670113,90.58869934,166.0088959,257.0777588,307.2363403,359.9999084
514010303,822.37,-1,360.999939,187.0559791,99.08220994,-1,44.73344803,105.4064026,192.6293335,270.0097656,318.8979919,359.999939
514010306,388.32,-1,360.9998779,177.650276,102.7128907,-1,34.28142548,90.07414055,179.5085907,264.4550247,318.7588348,359.9998779
514020102,420.31,-1,360.999939,175.2447141,107.523158,-1,22.14357548,83.54158592,176.8879395,269.0002975,321.8689758,359.999939
514020204,470.31,-1,361,175.2521415,108.2261979,-1,21.41785507,80.44765472,178.6569061,269.2355347,322.2755981,360
514020302,195.28,-1,360.9994812,181.7693967,101.2451801,-1,36.22611694,97.08805847,186.5836792,264.3193359,321.0121643,359.9994812
514020304,171.82,-1,360.9998779,186.455266,103.8991879,-1,39.73685455,97.20653534,189.7569733,278.6990967,325.2620544,359.9998779
514020505,406.49,-1,360.9996643,173.8856126,103.1055424,-1,33.94602585,84.66838074,170.9439087,260.6165619,320.8206177,359.9996643
514020205,387.02,-1,360.9998779,179.9679874,103.5517366,-1,35.41582336,89.8208046,183.1831818,268.1031342,321.8809204,359.9998779
514020502,515.98,-1,361,175.9594895,106.5721802,-1,26.63519249,82.5034256,178.8395538,267.198288,322.2554443,360
514010101,345.11,-1,360.9999695,183.3813951,101.2727951,-1,41.43248367,98.81733704,183.896347,270.7001495,321.2072296,359.9999695
514020207,453.74,-1,360.9999695,179.7494362,106.3359525,-1,29.38558197,93.4209404,175.7513275,276.9757843,323.2803833,359.9999695
514020501,443.71,-1,360.9999695,178.7654809,105.4443093,-1,33.86086388,87.38516998,177.232605,271.5474167,324.6791138,359.9999695
514020503,806.58,-1,360.999939,172.8181501,106.0039751,-1,31.36150913,81.19393539,164.623764,266.9055939,324.5058899,359.999939
514020603,197.06,-1,360.9999695,167.6749237,111.1840353,-1,19.13689327,70.16750336,159.8683472,269.4303513,325.2779755,359.9999695
514020606,272.83,-1,361,178.8150674,109.4935352,-1,23.94803314,84.01280975,181.7570648,274.6016083,322.9940247,360
514010201,421.18,-1,360.999939,183.6716246,100.8510813,-1,41.2797966,97.7256031,186.5470581,269.0692444,320.5200195,359.999939
514010304,619.24,-1,360.9999695,183.8755578,102.4173614,-1,39.87535477,94.93494225,187.5331726,271.3338165,321.4270172,359.9999695
514010305,797.71,-1,360.9999084,183.3078205,103.0210327,-1,38.63176422,94.5813446,185.426239,272.1111298,322.5803162,359.9999084
514020303,509.04,-1,360.999939,173.0688151,108.8016399,-1,21.0718708,80.4529953,169.2010193,269.3054504,326.0013733,359.999939
514020407,506.28,-1,360.9999695,178.9658986,105.6507714,-1,34.24598579,88.47159195,174.1861572,274.3500214,325.1695587,359.9999695
514020305,229.75,-1,360.9998779,183.3343161,104.3658569,-1,31.87117157,97.89682388,187.4502258,273.4593658,323.2634216,359.9998779
514020307,290.13,-1,360.9999084,185.3009181,105.7692148,-1,31.14308891,99.4446125,188.8168945,280.4476624,323.0101654,359.9999084
514020309,332.16,-1,360.999939,174.1308847,104.9857688,-1,25.60449791,85.65528297,172.7776794,264.7742004,316.4190643,359.999939
514010202,168.24,-1,360.9999084,184.4001368,98.63708151,-1,44.64380264,103.6715355,187.3749847,267.4804382,316.4715881,359.9999084
514010203,341.96,-1,360.9999084,180.1903427,104.147743,-1,29.83079224,94.65364075,182.6250153,269.3279419,320.6544128,359.9999084
514010204,354.6,-1,360.9999695,182.7120679,97.26247318,-1,44.85314178,103.3289413,186.4264221,261.1451721,315.6309631,359.9999695
514010206,149,-1,360.9995117,185.7154574,101.9467317,-1,39.00128479,102.3911362,188.2635498,272.1239624,324.4112732,359.9995117
514010207,263.62,-1,360.9998169,185.5284942,102.0100606,-1,39.686903,100.0842323,188.8719177,273.3587646,322.4472809,359.9998169
514010208,445.12,-1,360.9999695,185.1208717,97.6742563,-1,45.43613625,106.1510448,188.5016174,265.5873108,316.8988647,359.9999695
514010209,270.66,-1,360.9998474,186.8926747,97.95178013,-1,46.25122032,108.118269,190.7227173,268.2810516,318.5951843,359.9998474
514010210,290.4,-1,360.999939,189.135111,99.60488697,-1,44.47938385,109.1019974,193.8781433,271.2345581,321.6730347,359.999939
510010101,605.15,-1,360.9999084,183.5997178,102.3788139,-1,41.66450691,97.11714172,182.4017181,274.3867035,322.8640289,359.9999084
510010103,259.93,-1,360.9994812,180.9108505,99.24009558,-1,44.85864296,95.40519142,182.2561035,266.4714584,314.2477386,359.9994812
601020602,352.76,-1,360.9995728,189.1647422,102.3381084,-1,44.20508804,107.6967182,186.2382202,281.2187347,329.1319885,359.9995728
513010306,836.08,-1,360.9999695,172.5515947,106.2491477,-1,21.31859131,82.51264954,173.9644623,264.2292786,317.1638916,359.9999695
513010303,469.2,-1,361,174.7831086,100.2200181,-1,36.08861732,92.6166935,173.7512207,257.5046692,315.1246033,360
513010305,612.44,-1,360.9999695,177.4627151,108.2350921,-1,25.17096977,86.96232796,174.4395905,275.0639191,326.1799011,359.9999695
513010307,979.59,-1,360.999939,181.2027342,99.37443379,-1,43.39305115,97.929039,181.7628784,265.5987244,316.3604309,359.999939
513010103,964.85,-1,360.9999695,185.5760764,102.3678283,-1,41.97300873,99.01093292,186.0865936,275.3395691,323.9733521,359.9999695
513010104,462.85,-1,360.9998779,184.6894224,101.4644974,-1,42.21134415,99.11826324,186.0554199,272.4251251,321.508313,359.9998779
513010107,611.97,-1,360.9999695,182.7208412,102.5120999,-1,39.18747139,95.08552742,183.985321,270.9763794,322.9546509,359.9999695
513010108,749.32,-1,360.9999695,177.6046052,101.4703625,-1,35.01807251,91.93705368,180.390564,263.879631,313.587561,359.9999695
