huc10,areasqkm,sum,majority,range,mean,std,min,percentile_10,percentile_25,median,percentile_75,percentile_90,max
0507020303,580.98,14083439616.0,0.0,28478760.0,2143.1724164378306,65065.274701566836,0.0,0.0,1.0,4.0,10.0,30.0,28478760.0
0509010110,466.16,24046907392.0,0.0,5062673.0,4566.5592564951285,119996.940904662,0.0,0.0,1.0,3.0,8.0,27.0,5062673.0
0510010111,834.17,248516509696.0,0.0,33763820.0,26405.8631036739,839563.7406768434,0.0,0.0,1.0,3.0,8.0,18.0,33763820.0
0510010113,485.27,345715867648.0,0.0,224683024.0,63178.122631934246,2253460.684473653,0.0,0.0,1.0,3.0,7.0,24.0,224683024.0
0509020302,293.77,826582630400.0,0.0,227006960.0,249596.54265590676,7268646.508225225,0.0,0.0,1.0,2.0,10.0,54.0,227006960.0
0601020604,1018.64,233939599360.0,0.0,23365518.0,20367.87607283274,595790.7559184221,0.0,0.0,1.0,4.0,10.0,36.0,23365518.0
0601020603,683.12,118092619776.0,0.0,13719902.0,15316.819849971387,397025.3817303147,0.0,0.0,1.0,3.0,9.0,31.0,13719902.0
0601020601,397.42,7174462464.0,0.0,2890822.0,1598.3329005443873,44704.540138423145,0.0,0.0,1.0,3.0,9.0,35.0,2890822.0
0510020507,895.65,1073469849600.0,0.0,135891616.0,106293.02583304982,3652792.0303797885,0.0,0.0,1.0,3.0,9.0,28.0,135891616.0
0511000304,329.4,7888705536.0,0.0,3698986.0,2125.1373985343034,68890.24526816953,0.0,0.0,1.0,2.0,7.0,33.0,3698986.0
0511000602,565.63,23919935488.0,0.0,8623690.0,3754.3375095742144,117444.54574153615,0.0,0.0,1.0,3.0,8.0,29.0,8623690.0
0507020103,973.4,52939599872.0,0.0,10753353.0,4811.722866299716,169943.57446948,0.0,0.0,1.0,4.0,9.0,27.0,10753353.0
0509020308,572.18,11337597952.0,0.0,4310566.0,1758.6224419535517,48273.46687933446,0.0,0.0,1.0,2.0,7.0,37.0,4310566.0
0511000106,682.05,31254511616.0,0.0,6729025.0,4066.7273290558837,120356.11807389253,0.0,0.0,1.0,3.0,8.0,25.0,6729025.0
0511000402,380.07,3211782912.0,0.0,942399.0,750.130361943679,17016.452834560205,0.0,0.0,1.0,3.0,8.0,28.0,942399.0
0510020107,610.08,278954213376.0,0.0,62784680.0,40485.113528006295,1147572.8247783813,0.0,0.0,1.0,4.0,8.0,19.0,62784680.0
0604000605,391.68,73836617728.0,0.0,38855852.0,16712.51676998164,624611.5320614311,0.0,0.0,0.0,2.0,9.0,50.0,38855852.0
0511000601,214.38,5709373440.0,0.0,2298691.0,2362.1246726381332,53007.82751616849,0.0,0.0,1.0,3.0,8.0,33.0,2298691.0
0509020101,655.48,34092777472.0,0.0,7234288.0,4606.299844474046,141193.5910342399,0.0,0.0,1.0,4.0,8.0,18.0,7234288.0
0511000401,555.11,11335353344.0,0.0,3378102.0,1812.7385642310735,45686.34834098098,0.0,0.0,1.0,3.0,7.0,28.0,3378102.0
0511000101,1015.14,41312190464.0,0.0,10458686.0,3611.4952636933626,134823.067240818,0.0,0.0,1.0,3.0,8.0,24.0,10458686.0
0507020305,551.91,287439093760.0,0.0,37042776.0,46053.956834693745,1242913.1374680132,0.0,0.0,1.0,4.0,9.0,25.0,37042776.0
0507020301,621.96,28994004992.0,0.0,6820468.0,4125.519263684438,120483.67455695344,0.0,0.0,1.0,4.0,10.0,31.0,6820468.0
0507020304,437.26,12994176000.0,0.0,4933777.0,2628.908333995913,79414.43879519794,0.0,0.0,1.0,3.0,8.0,23.0,4933777.0
0507020401,269.16,4645678080.0,0.0,3035730.0,1526.5726430792768,38414.21449639887,0.0,0.0,1.0,3.0,7.0,19.0,3035730.0
0507020403,248.25,23832455168.0,0.0,7720133.0,8483.417097290107,230262.52245921062,0.0,0.0,1.0,3.0,8.0,25.0,7720133.0
0507020202,418.12,8402057728.0,0.0,3272172.0,1776.6231510463967,57697.99398908622,0.0,0.0,1.0,4.0,9.0,29.0,3272172.0
0507020404,377.31,293718228992.0,0.0,75392960.0,68869.79164769367,2099383.4202910867,0.0,0.0,1.0,3.0,8.0,24.0,75392960.0
0510010112,750.72,420869767168.0,0.0,77569856.0,49714.13995423466,1749744.9527577225,0.0,0.0,1.0,3.0,7.0,16.0,77569856.0
0510010109,249.93,9697572864.0,0.0,2816843.0,3434.8312700297242,81742.15084416895,0.0,0.0,1.0,3.0,8.0,22.0,2816843.0
0510010204,635.97,116395499520.0,0.0,23016828.0,16231.209907779736,529578.2315666899,0.0,0.0,1.0,3.0,8.0,21.0,23016828.0
0510010205,357.4,108853125120.0,0.0,26768516.0,27000.698034202218,801263.4634711691,0.0,0.0,1.0,3.0,7.0,17.0,26768516.0
0510020101,485.15,14944088064.0,0.0,5118546.0,2725.767427234714,70288.0697049584,0.0,0.0,1.0,3.0,9.0,30.0,5118546.0
0510020102,221.32,4846359040.0,0.0,2278551.0,1936.1466664269635,52717.98961291106,0.0,0.0,1.0,4.0,10.0,34.0,2278551.0
0510020103,669.55,70207889408.0,0.0,14128947.0,9281.029645988336,302138.05130201246,0.0,0.0,1.0,3.0,10.0,32.0,14128947.0
0510020104,279.01,94443995136.0,0.0,17588532.0,29948.34577143377,693598.2982778469,0.0,0.0,1.0,4.0,10.0,28.0,17588532.0
0510020105,637.32,25216833536.0,0.0,6242285.0,3503.106241771633,102356.36740857238,0.0,0.0,1.0,4.0,10.0,26.0,6242285.0
0510020401,355.5,67353214976.0,0.0,66788864.0,16772.400788202955,963988.4808839918,0.0,0.0,1.0,3.0,8.0,20.0,66788864.0
0510020402,769.32,34298853376.0,0.0,8634293.0,3949.059502457134,129325.922252079,0.0,0.0,1.0,3.0,8.0,19.0,8634293.0
0510020305,185.1,4514371584.0,0.0,2084658.0,2158.1184438923437,53749.07124690331,0.0,0.0,1.0,4.0,8.0,19.0,2084658.0
0510020306,328.97,86109224960.0,0.0,21782122.0,23174.428764432003,676129.3355953917,0.0,0.0,1.0,4.0,8.0,21.0,21782122.0
0507020205,582.56,20669282304.0,0.0,5740413.0,3140.957656688246,88417.71101310044,0.0,0.0,1.0,3.0,8.0,29.0,5740413.0
0507020105,515.03,51021492224.0,0.0,13469464.0,8761.143596988191,304157.9817243326,0.0,0.0,1.0,4.0,10.0,28.0,13469464.0
0507020402,168.27,8520780800.0,0.0,4934217.0,4474.22713758668,130189.48255839529,0.0,0.0,1.0,3.0,8.0,27.0,4934217.0
